"hh","u","v","IntegrationTime","Velocity:0","Velocity:1","Velocity:2","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
13,130,1.1861e-007,0,-1.1861e-007,0,0,0,0,0,0,0,1,0,0,0,0,0
12.823,118.23,1.7826e-007,0,-1.196e-007,6.8113e-009,0,0,0,0,0,0,0,0,1,1.5,1,0
12.857,118.43,1.8093e-007,2.3611e+006,-1.2132e-007,5.0959e-009,0,0,0,0,0,0,0,0,1,1.2175,1.014,0
12.867,118.5,1.7988e-007,3.0584e+006,-1.1758e-007,5.0959e-009,0,0,0,0,0,0,-0,-0,1,1.1329,1.0176,0
12.901,118.73,1.7839e-007,5.4618e+006,-1.1928e-007,3.3909e-009,0,0,0,0,0,0,-0,-0,1,0.85027,1.0278,0
12.934,118.98,1.8085e-007,7.8321e+006,-1.1623e-007,3.3909e-009,0,0,0,0,0,0,-0,-0,1,0.56754,1.036,0
12.935,118.99,1.8085e-007,7.955e+006,-1.1793e-007,1.6935e-009,0,0,0,0,0,0,-0,-0,1,0.55325,1.0362,0
12.968,119.28,1.7726e-007,1.0353e+007,-1.1556e-007,1.6935e-009,0,0,0,0,0,0,-0,-0,1,0.27043,1.0403,0
12.651,106.51,2.7043e-007,0,-1.2893e-007,2.4819e-008,0,0,0,0,0,0,0,0,1,3,2,0
12.688,106.3,2.4932e-007,2.1543e+006,-1.2417e-007,2.2494e-008,0,0,0,0,0,0,0,0,1,2.7231,2.0578,0
12.723,106.15,2.2543e-007,4.3957e+006,-1.2417e-007,2.2494e-008,0,0,0,0,0,0,0,0,1,2.4448,2.1082,0
12.757,105.99,2.0536e-007,6.6371e+006,-1.2013e-007,1.8658e-008,0,0,0,0,0,0,-2.507e-009,-1.4689e-008,1,2.1665,2.1586,0
12.791,105.88,1.9078e-007,8.9637e+006,-1.1299e-007,1.8658e-008,0,0,0,0,0,0,-3.9082e-009,-2.5512e-008,1,1.8873,2.2034,0
12.824,105.8,1.7341e-007,1.1434e+007,-1.1678e-007,1.4866e-008,0,0,0,0,0,0,-4.1341e-009,-2.9514e-008,1,1.6074,2.2443,0
12.827,105.79,1.7168e-007,1.1686e+007,-1.1037e-007,1.4866e-008,0,0,0,0,0,0,-3.9678e-009,-2.9537e-008,1,1.578,2.2482,0
12.859,105.73,1.5648e-007,1.4226e+007,-1.1412e-007,1.1113e-008,0,0,0,0,0,0,-3.4714e-009,-2.9599e-008,1,1.2977,2.286,0
12.89,105.76,1.4861e-007,1.6693e+007,-1.0841e-007,1.1113e-008,0,0,0,0,0,0,-2.7452e-009,-2.9676e-008,1,1.0162,2.3141,0
12.921,105.83,1.3919e-007,1.9288e+007,-1.0712e-007,7.3904e-009,0,0,0,0,0,0,-2.289e-009,-2.9714e-008,1,0.73445,2.3381,0
12.951,105.94,1.3014e-007,2.1922e+007,-1.0712e-007,7.3904e-009,0,0,0,0,0,0,-1.5918e-009,-2.976e-008,1,0.45228,2.3576,0
12.982,106.14,1.2818e-007,2.4556e+007,-1.0647e-007,3.6896e-009,0,0,0,0,0,0,-1.5918e-009,-2.976e-008,1,0.16965,2.3683,0
12.49,94.898,2.2531e-007,0,-1.4666e-007,5.7847e-008,0,0,0,0,0,0,0,0,-1,4.5,3,0
12.532,94.24,1.8196e-007,1.794e+006,-1.3322e-007,5.7847e-008,0,0,0,0,0,0,0,0,-1,4.2387,3.1082,0
12.573,93.516,1.5536e-007,3.7416e+006,-1.1991e-007,5.9117e-008,0,0,0,0,0,0,6.0675e-009,1.361e-008,-1,3.9795,3.2215,0
12.574,93.5,1.5627e-007,3.7839e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.4203e-009,1.9318e-008,-1,3.9744,3.2238,0
12.575,93.486,1.5709e-007,3.8252e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1165e-009,1.9448e-008,-1,3.9692,3.226,0
12.575,93.472,1.5791e-007,3.8665e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.964,3.2282,0
12.576,93.458,1.5873e-007,3.9079e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.9587,3.2303,0
12.577,93.444,1.5955e-007,3.9492e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.9535,3.2325,0
12.578,93.43,1.6037e-007,3.9905e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.9483,3.2347,0
12.579,93.416,1.6119e-007,4.0319e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.9431,3.2369,0
12.579,93.402,1.6201e-007,4.0732e+006,-1.2631e-007,5.2716e-008,0,0,0,0,0,0,8.1166e-009,1.9448e-008,-1,3.9379,3.2391,0
